url,name,review_count,address,category,phone,website
https://www.google.com/maps/place/A+Square+Consultants/data=!4m7!3m6!1s0x399956557b8618b1:0x69989f049ffcfd1!8m2!3d26.9287143!4d80.9406034!16s%2Fg%2F11pwj1fc3f!19sChIJsRiGe1VWmTkR0c__SfCJmQY?authuser=0&hl=en&rclk=1,A Square Consultants,," 1, 1, Sector-1, Sultanpur Village, Jankipuram Extension, Lucknow, Uttar Pradesh 226031 ",Corporate office,05223563870,
https://www.google.com/maps/place/A+MART+CHAURAHA/data=!4m7!3m6!1s0x39995737a4b6a761:0xaab59bd60c9e6973!8m2!3d26.9172255!4d80.9333931!16s%2Fg%2F11kv9y_fj8!19sChIJYae2pDdXmTkRc2meDNabtao?authuser=0&hl=en&rclk=1,A MART CHAURAHA,," A MART CHAURAHA, Mohibullapur, Madiyanva, Lucknow, Uttar Pradesh 226021 ",Store,,
https://www.google.com/maps/place/Maurya+Mansion+A-146/data=!4m7!3m6!1s0x399957003ee43123:0x5cbe5e258cdda5ab!8m2!3d26.904156!4d80.9717606!16s%2Fg%2F11y3p1l9r6!19sChIJIzHkPgBXmTkRq6XdjCVevlw?authuser=0&hl=en&rclk=1,Maurya Mansion A-146,," A145, Pragati Vihar, Adil Nagar, Lucknow, Uttar Pradesh 226006 ",Housing complex,,
https://www.google.com/maps/place/Nehru+Vihar+A-54+Kalyanpur/data=!4m7!3m6!1s0x399957f27e8f7a29:0x885889eb35ca7dc8!8m2!3d26.8968795!4d80.9715936!16s%2Fg%2F11r_cg6053!19sChIJKXqPfvJXmTkRyH3KNeuJWIg?authuser=0&hl=en&rclk=1,Nehru Vihar A-54 Kalyanpur,," VXWC+QJ4, Adarsh Nagar, Kalyanpur (East), Lucknow, Uttar Pradesh 226022 ",Housing society,,
https://www.google.com/maps/place/A+m+k+Timber+store+Nahar+Road/data=!4m7!3m6!1s0x399957440fa29f29:0xafaf76dfe6337b92!8m2!3d26.9368409!4d80.9611524!16s%2Fg%2F11ql_32m3m!19sChIJKZ-iD0RXmTkRknsz5t92r68?authuser=0&hl=en&rclk=1,A m k Timber store Nahar Road,," WXP6+PFJ, Unnamed Road, Sita Vihar Colony, Janki Vihar Colony, Jankipuram, Lucknow, Uttar Pradesh 226021 ",Lodging,09454500013,
https://www.google.com/maps/place/R+And+A+Enterprises/data=!4m7!3m6!1s0x399957a98bd24db9:0x3808221aed41136a!8m2!3d26.9380982!4d80.9447656!16s%2Fg%2F11pv0dpxmb!19sChIJuU3Si6lXmTkRahNB7RoiCDg?authuser=0&hl=en&rclk=1,R And A Enterprises,," 423, Sector-6, Jankipuram Vistar, Lucknow, Uttar Pradesh 226021 ",General store,06394821920,
https://www.google.com/maps/place/Jankipuram+sector+A/data=!4m7!3m6!1s0x399957f3b0e29077:0x9c94de92e1fc15b!8m2!3d26.9060696!4d80.9409983!16s%2Fg%2F11kk08szkh!19sChIJd5DisPNXmTkRW8EfLulNyQk?authuser=0&hl=en&rclk=1,Jankipuram sector A,," ESIB/418, Sector A, Aliganj, Lucknow, Uttar Pradesh 226021 ",Home audio store,,
https://www.google.com/maps/place/U+%26+A+STEEL+FURNITURE/data=!4m7!3m6!1s0x3999575055b9f725:0x2d4641c5f834c158!8m2!3d26.9388725!4d80.9816263!16s%2Fg%2F11rd9ds__w!19sChIJJfe5VVBXmTkRWME0-MVBRi0?authuser=0&hl=en&rclk=1,U & A STEEL FURNITURE,," Tiwari complex basement shop 2 Infront of T3 Lawn, Misripur, Uttar Pradesh 226026 ",Furniture accessories,,
"https://www.google.com/maps/place/A-20+Viila+Aliganj,/data=!4m7!3m6!1s0x3999579069e96a19:0x7c391ef5a8a62928!8m2!3d26.8988841!4d80.9470507!16s%2Fg%2F11kc3qtsgw!19sChIJGWrpaZBXmTkRKCmmqPUeOXw?authuser=0&hl=en&rclk=1","A-20 Viila Aliganj,",," A-20, Sector B, Sector-A, Sector L, Aliganj, Lucknow, Uttar Pradesh 226024 ",Holiday home,,
https://www.google.com/maps/place/A+To+Z+Stationary/data=!4m7!3m6!1s0x3999565a95e3e091:0x18f990de76275862!8m2!3d26.9183164!4d80.93078!16s%2Fg%2F11vy9tzp9c!19sChIJkeDjlVpWmTkRYlgndt6Q-Rg?authuser=0&hl=en&rclk=1,A To Z Stationary,," Aziz Nagar, Madiyanva, Lucknow, Uttar Pradesh 226020 ",,,
